"NOMPROV","PROV","NOMDEPTO","DEPTO","FRAC","RADIO","TIPO","LINK","OBS2020","link_chr","codigo","indice_envejecimiento","pct_pob_65_mas","pct_pob_80_mas","tasa_actividad","tasa_empleo","pct_sin_agua_red","pct_desague_sin_red"
"NEUQUEN","58","Confluencia","035","25","20","U","580352520",NA,"580352520",580352520,37.96,6.31,0.62,62.59,57.12,2.5,4.6
"NEUQUEN","58","Confluencia","035","25","13","U","580352513",NA,"580352513",580352513,24.31,5.98,1.02,68.21,61.81,2.7,18.5
"NEUQUEN","58","Confluencia","035","25","05","U","580352505",NA,"580352505",580352505,75.86,8.26,1.13,60.96,54.49,2.1,2.6
"NEUQUEN","58","Confluencia","035","25","14","U","580352514",NA,"580352514",580352514,38.21,7.89,1.09,64.08,57.97,1.6,13.8
"NEUQUEN","58","Confluencia","035","35","09","U","580353509",NA,"580353509",580353509,5.23,1.82,0.4,72.59,68.07,3.7,72.8
"NEUQUEN","58","Confluencia","035","25","06","U","580352506",NA,"580352506",580352506,103.51,16.95,3.45,59.12,52.03,3.9,3.1
"NEUQUEN","58","Confluencia","035","01","02","M","580350102",NA,"580350102",580350102,58.43,15.2,1.17,62.35,59.22,24.4,97.6
"NEUQUEN","58","Confluencia","035","01","05","M","580350105",NA,"580350105",580350105,53.45,11.36,2.2,70,68.18,84.5,92
"NEUQUEN","58","Confluencia","035","01","10","U","580350110",NA,"580350110",580350110,60,12,0,61.9,52.38,0,30
"NEUQUEN","58","Confluencia","035","01","09","U","580350109",NA,"580350109",580350109,55.56,16.13,1.94,36.04,24.32,10.8,70.3
"NEUQUEN","58","Confluencia","035","01","04","U","580350104",NA,"580350104",580350104,70,15.91,4.55,50,47.06,18.8,68.8
"NEUQUEN","58","Confluencia","035","01","11","U","580350111",NA,"580350111",580350111,46.67,10.77,0,54.9,29.41,23.5,5.9
"NEUQUEN","58","Confluencia","035","01","12","U","580350112",NA,"580350112",580350112,100,18.75,0,92.31,76.92,62.5,75
